gender,age,salary,numberOfMonths,city,numberOfActiveDependants,numberOfJobsChanged,avgDuration,status
M,61,3000,103,Riyadh,0,4,25.75,1
M,62,4831.53,124,Riyadh,0,4,31,1
M,69,20475,452,Riyadh,3,6,75.3333333333333,1
M,61,3000,99,Riyadh,0,5,19.8,1
M,63,13702.7,188,Riyadh,3,3,62.6666666666667,1
M,53,22675,416,Riyadh,3,4,104,1
M,61,3250,84,Riyadh,0,5,16.8,1
M,65,8580,421,Makkah,3,11,38.2727272727273,1
M,53,45000,300,Riyadh,3,10,30,1
M,61,3000,126,Riyadh,0,1,126,1
M,71,1500,123,Riyadh,0,1,123,1
M,66,7904,352,Dammam,1,6,58.6666666666667,1
M,61,42200,219,Riyadh,3,10,21.9,1
F,66,3000,131,Jeddeh,0,7,18.7142857142857,1
M,69,3100,62,Jeddeh,0,3,20.6666666666667,1
M,70,19862.5,446,Riyadh,3,4,111.5,1
M,62,2325,134,Dammam,0,4,33.5,1
M,67,20183.33,15,Riyadh,3,4,3.75,1
M,62,45000,127,Riyadh,3,5,25.4,1
F,56,3000,154,Jeddeh,0,17,9.05882352941176,1
M,60,43826.25,409,Riyadh,3,4,102.25,1
M,63,5460,135,Jeddeh,0,4,33.75,1
M,62,45000,300,Riyadh,3,2,150,1
M,70,3000,116,Riyadh,0,2,58,1
M,56,49500,368,Riyadh,3,6,61.3333333333333,1
M,49,26909,312,Aljoubail,3,2,156,1
M,66,1540,60,Riyadh,3,2,30,1
M,72,1890,98,Alqateef,3,2,49,1
M,64,49500,435,Riyadh,3,5,87,1
M,56,24585,334,Jeddeh,3,6,55.6666666666667,1
M,53,45000,311,Jeddeh,3,6,51.8333333333333,1
M,63,3500,121,Safwa,0,9,13.4444444444444,1
M,57,19043.75,436,Jeddeh,3,3,145.333333333333,1
M,64,21846.25,164,Riyadh,3,4,41,1
M,64,40000,334,Riyadh,3,16,20.875,1
M,74,8481,205,Riyadh,5,7,29.2857142857143,1
M,65,3010,90,Riyadh,0,2,45,1
M,61,59895,396,Dammam,2,4,99,1
M,62,1500,231,Jeddeh,0,10,23.1,1
M,65,39721.08,458,Riyadh,3,7,65.4285714285714,1
M,61,3000,101,Riyadh,0,6,16.8333333333333,1
M,60,4206.25,401,Jeddeh,6,9,44.5555555555556,1
M,63,19500,323,Riyadh,2,11,29.3636363636364,1
M,64,45000,437,Riyadh,3,9,48.5555555555556,1
M,63,56250,437,Jeddeh,3,9,48.5555555555556,1
M,64,36587.5,422,Jeddeh,1,2,211,1
M,68,9000,331,Dammam,2,2,165.5,1
M,53,22675,335,Jeddeh,4,4,83.75,1
M,53,22426.75,324,Jeddeh,2,8,40.5,1
M,53,4813,315,Jeddeh,3,11,28.6363636363636,1
M,64,3000,63,Buraydah,0,2,31.5,1
M,62,2815,160,Makkah,0,4,40,1
M,61,2550,106,Riyadh,0,4,26.5,1
M,62,14328,434,Jeddeh,3,2,217,1
M,64,4365,68,Riyadh,0,3,22.6666666666667,1
M,61,5870,275,Riyadh,2,7,39.2857142857143,1
M,69,1500,199,Jeddeh,2,4,49.75,1
M,64,8257.5,403,Buraydah,2,6,67.1666666666667,1
M,55,14000,191,Jeddeh,0,5,38.2,1
M,65,3000,67,Riyadh,0,2,33.5,1
M,47,14000,300,Tabuk,4,8,37.5,1
M,102,7150,87,Dammam,1,1,87,1
M,61,21915,431,Dammam,0,6,71.8333333333333,1
M,66,10000,114,Riyadh,3,1,114,1
M,61,19813,144,Riyadh,0,6,24,1
M,62,6600,275,Jeddeh,3,15,18.3333333333333,1
M,53,3000,217,Jeddeh,0,11,19.7272727272727,1
M,50,6500,300,Jeddeh,3,6,50,1
M,54,23567.43,393,Riyadh,3,4,98.25,1
F,57,4563,120,Riyadh,0,1,120,1
M,64,23500,482,Dammam,3,12,40.1666666666667,1
M,45,42950,156,Riyadh,3,2,78,1
M,58,5870,301,Jeddeh,2,7,43,1
M,59,10516,320,Riyadh,3,4,80,1
M,53,25663.75,325,Riyadh,3,4,81.25,1
M,63,4125,387,Jeddeh,3,8,48.375,1
